FundName,TargetName,FundID,Permno,NCUSIP,gv_str,Date13D,DateCross5pct,Year,Gvkey
MOUNT KELLETT CAPITAL MANAGEMENT LP,SANDRIDGE ENERGY INC,710,92421,80007P307,176899,20130325,20130315,2013,176899
TPG-AXON CAPITAL,"SANDRIDGE ENERGY, INC.",132,92421,80007P307,176899,20121113,20121109,2012,176899
WYNNEFIELD PARTNERS SMALL CAP VALUE LP,"SUMMER INFANT, INC.",86,91909,865646103,176874,20121115,20121112,2012,176874
KANDERS WARREN B,"SUMMER INFANT, INC.",703,91909,865646103,176874,20121130,20121121,2012,176874
MILLENNIUM MANAGEMENT LLC,"SUMMER INFANT, INC.",153,91909,86564610,176874,20070316,20070306,2007,176874
MORNINGSIDE VALUE INVESTORS LLC,"RAND LOGISTICS, INC.",109,91905,75218210,176873,20080320,20080226,2008,176873
KNOTT DAVID M,"RAND LOGISTICS, INC.",479,91905,75218210,176873,20060316,20060306,2006,176873
JWEST LLC,"RAND LOGISTICS, INC.",735,91905,752182105,176873,-99,-99,,176873
JWEST LLC,"RAND LOGISTICS, INC.",735,91905,752182105,176873,-99,-99,,176873
VALUEACT CAPITAL MANAGEMENT LP,"BIGBAND NETWORKS, INC.",81,91889,8975050,176863,20100305,20100223,2010,176863
QVT FINANCIAL LP,"OCEANAUT, INC.",146,91940,67522710,176834,20080201,20080123,2008,176834
BECKER STEVEN R,GLU MOBILE INC,297,91900,37989010,176782,20100219,20100210,2010,176782
CROSS RIVER CAPITAL MANAGEMENT LLC,"CMS BANCORP, INC.",437,91956,12600U10,176762,20080610,20080610,2008,176762
MILLENNIUM MANAGEMENT LLC,"COUGAR BIOTECHNOLOGY, INC.",153,92459,22208310,176663,20070312,20070228,2007,176663
ADAGE CAPITAL MANAGEMENT LP,"COUGAR BIOTECHNOLOGY, INC",151,92459,22208310,176663,20060413,20060403,2006,176663
ORBIMED ADVISORS LLC,3SBIO INC.,593,-99,88575Y105,176660,20130408,20130405,2013,176660
KINDERHOOK LP,"SALARY. COM, INC.",476,91831,79400610,176658,20090403,20090402,2009,176658
RAGING CAPITAL MANAGEMENT LLC,"SALARY. COM, INC.",521,91831,79400610,176658,20090319,20080316,2009,176658
CANNELL CAPITAL MANAGEMENT LLC,"SALARY. COM, INC.",13,91831,79400610,176658,20081217,20081211,2008,176658
COBALT CAPITAL MANAGEMENT INC,HORSEHEAD HOLDING CORP.,777,92232,44069430,176639,20080820,-99,2008,176639
DISCOVERY GROUP LLC,"U.S. AUTO PARTS NETWORK, INC.",21,91826,90343C100,176593,20120511,20120502,2012,176593
STEEL PARTNERS,"AVIAT NETWORKS, INC.",74,91836,05366Y10,176572,20140724,20140714,2014,176572
