Fund Name,Target Name,FundID,Permno,NCUSIP,Gvkey,Date13D,DateCross5pct
TUDOR INVESTMENT CORP,NETVANTAGE INC,388,81631,64120U10,31760,19961011,19961004
TUDOR INVESTMENT CORP,JOHNSTOWN AMERICA INDUSTRIES INC,388,79396,47947710,28602,19970516,19970508
TUDOR INVESTMENT CORP,INTERCARDIA INC,388,83146,45844M10,61980,19970702,19970623
TUDOR INVESTMENT CORP,WAVEPHORE INC,388,81018,94356710,30849,19971001,19970922
TUDOR INVESTMENT CORP,NOVOSTE CORP /FL/,388,83535,67010C10,62923,19971022,19971014
TUDOR INVESTMENT CORP,BIOFIELD CORP \DE\,388,83242,9059110,62412,19971223,19971217
TUDOR INVESTMENT CORP,NORTH AMERICAN SCIENTIFIC INC,388,85837,65715D10,25033,19980219,19971113
TUDOR INVESTMENT CORP,RCN CORP /DE/,388,90638,74936120,65448,20041230,20041221
TUDOR INVESTMENT CORP,"JAMBA, INC.",388,90795,47023A10,164255,20061208,20061129
TURKEY VULTURE FUND XIII LTD,CARDINAL REALTY SERVICES INC,389,81310,14153810,12742,19960305,19960226
TURKEY VULTURE FUND XIII LTD,CENTRAL RESERVE LIFE CORP,389,22198,15505510,16747,19971010,19971008
TURKEY VULTURE FUND XIII LTD,AMERIWOOD INDUSTRIES INTERNATIONAL CORP,389,67652,03070M10,9243,19971014,19971007
TURKEY VULTURE FUND XIII LTD,ENERGY WEST INC,389,10001,29274A10,12994,19990512,19990503
TURKEY VULTURE FUND XIII LTD,LNB BANCORP INC,389,87652,50210010,20297,20000501,20000419
TURKEY VULTURE FUND XIII LTD,CORRPRO COMPANIES INC /OH/,389,79670,22031710,28942,20010511,20010502
VALUEVEST PARTNERS LP,LITTLE SWITZERLAND INC/DE,390,76739,53752810,24312,19970505,19970425
VALUEVEST PARTNERS LP,AMPEX CORP.,390,77781,032092306,25554,20061113,20061101
FBR CAPITAL MARKETS & CO.,XECOM CORP /NV,392,-99,-99,-99,19980121,19971114
FBR CAPITAL MARKETS & CO.,CTC COSMETICS HOLDINGS CO INC,392,-99,-99,-99,19980126,19970321
FBR CAPITAL MARKETS & CO.,RESOURCE AMERICA INC,392,66617,76119520,9083,19970801,19970724
FBR CAPITAL MARKETS & CO.,MEGO FINANCIAL CORP,392,76526,58516210,19954,19970908,19970827
FBR CAPITAL MARKETS & CO.,MEGO MORTGAGE CORP,392,84235,58516510,64000,19970909,19970903
FBR CAPITAL MARKETS & CO.,MONTEREY HOMES CORP,392,75342,61250210,14790,19971031,19971016
FBR CAPITAL MARKETS & CO.,ITLA CAPITAL CORP,392,82501,45056510,61444,19971223,19971217
FBR CAPITAL MARKETS & CO.,SYMMETRICOM INC,392,70616,87154310,9715,19980113,19971226
FBR CAPITAL MARKETS & CO.,99 CENTS ONLY STORES,392,83452,65440K10,62922,20110311,-99
TUDOR INVESTMENTS LTD PROFIT SHARING PLAN,CREATIVE VISTAS INC,393,-99,-99,-99,20000816,20000709
683 CAPITAL MANAGEMENT LLC,NABI BIOPHARMACEUTICALS,399,57913,62951910,7936,20110816,20110808
ABINGDON CAPITAL MANAGEMENT LLC,DOLLAR THRIFTY AUTOMOTIVE GROUP INC,400,85647,25674310,66061,20081022,20081014
AKRE CAPITAL MANAGEMENT LLC,99 CENTS ONLY STORES,401,83452,65440K10,62922,20080104,20080103
ALGEBRIS INVESTMENTS (UK) LLP,WEBSTER FINANCIAL CORP,402,10932,94789010,17150,20090730,20090720
AMALGAMATED GADGET LP,I2 TECHNOLOGIES INC,403,83386,46575420,62712,20040505,20040427
AMALGAMATED GADGET LP,EMMIS COMMUNICATIONS CORP,403,80297,29152510,15337,20100709,20100709
AMALGAMATED GADGET LP,ASPECT COMMUNICATIONS CORPORATION,403,76165,04523Q10,21508,20021230,20021220
AMALGAMATED GADGET LP,FREMONT GENERAL CORPORATION,403,37699,35728810,-99,20071017,20071012
AMALGAMATED GADGET LP,HOUGHTON MIFFLIN HARCOURT COMPANY,403,14312,44157R10,16738,-99,-99
ANCHORAGE ADVISORS LLC,HAMPTON ROADS BANKSHARES INC,404,91431,40932110,114956,20101012,20100930
ANCHORAGE ADVISORS LLC,CENTRAL PACIFIC FINANCIAL CORP,404,11628,15476010,16705,20110228,20110218
ANCHORAGE ADVISORS LLC,"DHT HOLDINGS, INC.",404,90943,Y2065G121,165262,20120514,20120502
ANCHORAGE ADVISORS LLC,"CUBIC ENERGY, INC.",404,92763,22967510,133166,20131015,20131002
ANDALUSIAN CAPITAL PARTNERS LP,VERSANT CORP,405,83808,92528430,63281,20110524,20110523
ARBITER PARTNERS LP,MTR GAMING GROUP INC,406,78147,55376910,25079,20080305,20080305
ARCADIA OPPORTUNITY MASTER FUND LTD,"CPEX PHARMACEUTICALS, INC.",407,92717,12620N10,180231,20100107,20091228
ARCADIA OPPORTUNITY MASTER FUND LTD,HEARUSA INC,407,12188,42236030,14606,20110304,20110228
ARCADIA OPPORTUNITY MASTER FUND LTD,"ACCELRYS, INC.",407,82734,00430U10,61656,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,"ADAPTEC, INC.",407,10353,00651F10,-99,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,"BALLANTYNE STRONG, INC.",407,82234,05851610,61285,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,BOLT TECHNOLOGY CORPORATION,407,18650,09769810,2295,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,CYPRESS BIOSCIENCE INC.,407,43290,23267450,5841,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,RIMAGE CORPORATION,407,78054,76672110,25915,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,"SYMMETRICOM, INC.",407,70616,87154310,9715,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,"SYMYX TECHNOLOGIES, INC.",407,87418,87155S10,126601,-99,-99
ARCADIA OPPORTUNITY MASTER FUND LTD,ZORAN CORPORATION,407,82766,98975F10,61737,-99,-99
FIRST EAGLE INVESTMENT MANAGEMENT LLC,ENTRUST INC,409,86324,29384810,113609,20090618,20090618
FIRST EAGLE INVESTMENT MANAGEMENT LLC,"MYRIAD PHARMACEUTICALS, INC.",409,92941,62856H10,183101,20091224,20091218
FIRST EAGLE INVESTMENT MANAGEMENT LLC,"AMICAS, INC.",409,85245,171210,65072,20100224,20100222
FIRST EAGLE INVESTMENT MANAGEMENT LLC,PORTEC RAIL PRODUCTS INC,409,90013,73621210,157195,20100322,20100316
